Crash.ID,State,Month,Year,Dayweek,Time,Crash.Type,Bus.Involvement,Heavy.Rigid.Truck.Involvement,Articulated.Truck.Involvement,Speed.Limit,Road.User,Gender,Age,National.Remoteness.Areas,SA4.Name.2016,National.LGA.Name.2017,National.Road.Type,Christmas.Period,Easter.Period,Age.Group,Day.of.week,TimeOfDay,NumberOfAccidents
20151233,NSW,9,2015,Wednesday,12:30,Multiple,No,No,No,60,Driver,Male,84,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,75_or_older,Weekday,Day,1
20151046,NSW,9,2015,Monday,14:00,Single,No,No,No,60,Passenger,Female,72,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,No,No,65_to_74,Weekday,Day,1
20151140,NSW,9,2015,Saturday,15:30,Multiple,No,No,No,100,Passenger,Female,70,Outer Regional Australia,New England and North West,Liverpool Plains,National or State Highway,No,No,65_to_74,Weekend,Day,1
20151217,NSW,8,2015,Monday,19:00,Single,No,No,No,100,Passenger,Female,2,Outer Regional Australia,New England and North West,Liverpool Plains,National or State Highway,No,No,0_to_16,Weekday,Night,1
20151234,NSW,8,2015,Sunday,8:40,Single,No,No,No,110,Driver,Male,22,Major Cities of Australia,Richmond - Tweed,Tweed,National or State Highway,No,No,17_to_25,Weekend,Day,1
20151146,NSW,8,2015,Wednesday,6:55,Multiple,No,No,No,50,Driver,Male,89,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,No,No,75_or_older,Weekday,Day,1
20154076,SA,8,2015,Sunday,1:15,Single,No,No,No,60,Pedestrian,Female,49,Major Cities of Australia,Adelaide - North,Tea Tree Gully (C),Arterial Road,No,No,40_to_64,Weekend,Night,1
20155040,WA,7,2015,Tuesday,22:49,Single,No,No,No,100,Motorcycle rider,Male,41,Major Cities of Australia,Mandurah,Mandurah (C),ARTERIAL ROAD,No,No,40_to_64,Weekday,Night,1
20152071,Vic,7,2015,Sunday,1:40,Single,No,No,No,100,Driver,Male,37,Inner Regional Australia,Hume,Murrindindi (S),National or State Highway,No,No,26_to_39,Weekend,Night,1
20151171,NSW,7,2015,Friday,15:14,Multiple,No,Yes,No,80,Motorcycle rider,Male,42,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Arterial Road,No,No,40_to_64,Weekday,Day,1
20152102,Vic,7,2015,Sunday,20:14,Multiple,No,No,No,50,Pedestrian,Female,74,Major Cities of Australia,Melbourne - North West,Moreland (C),Collector Road,No,No,65_to_74,Weekend,Night,1
20152199,Vic,6,2015,Thursday,16:35,Multiple,No,No,No,100,Driver,Male,76,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges (S),Local Road,No,No,75_or_older,Weekday,Day,1
20151074,NSW,6,2015,Saturday,0:58,Single,No,No,No,50,Pedestrian,Male,37,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Local Road,No,No,26_to_39,Weekend,Night,1
20151259,NSW,5,2015,Thursday,19:00,Single,No,No,No,100,Passenger,Female,20,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road,No,No,17_to_25,Weekday,Night,1
20152155,Vic,5,2015,Sunday,10:11,Multiple,No,No,No,100,Driver,Male,19,Inner Regional Australia,Ballarat,Moorabool (S),National or State Highway,No,No,17_to_25,Weekend,Day,1
20151113,NSW,5,2015,Thursday,16:15,Multiple,No,No,Yes,100,Driver,Female,18,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway,No,No,17_to_25,Weekday,Day,1
20151073,NSW,5,2015,Monday,11:20,Multiple,No,No,No,60,Driver,Female,86,Inner Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,75_or_older,Weekday,Day,1
20154025,SA,4,2015,Sunday,14:38,Multiple,No,No,No,110,Passenger,Female,88,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield (DC),National or State Highway,No,No,75_or_older,Weekend,Day,1
